name,brand_channel,subscribers,primary_language,category,country,joined,views,videos
MrBeast,No,335000000,English,Entertainment,United States,2012-02-19,68528664485,840
T-Series,Yes,280000000,Hindi,Music,India,2006-03-13,279707148545,22422
Cocomelon - Nursery Rhymes,Yes,186000000,English,Education,United States,2006-09-01,194361752276,1389
SET India,Yes,180000000,Hindi,Entertainment,India,2006-09-20,173289739649,149347
Vlad and Niki,No,129000000,English,Entertainment,Russia,2018-04-23,100293530983,820
Kids Diana Show,Yes,128000000,English,Entertainment,United States Ukraine,2015-05-12,109633468705,1290
Like Nastya,No,123000000,English,Entertainment,United States Ukraine,2016-12-06,108693779250,922
Zee Music,Yes,112000000,Hindi,Music,India,2014-03-12,72768885613,12932
PewDiePie,No,110000000,English,Entertainment,Sweden Japan,2010-04-29,29464554204,4805
WWE,Yes,105000000,English,Sports,United States,2007-05-10,90572600394,81273
Goldmines,Yes,101000000,Hindi,Film,India,2012-01-21,30119572070,9571
Stokes Twins,No,100000000,English,Entertainment,United States,2008-04-11,17010365239,337
Sony SAB,Yes,97500000,Hindi,Entertainment,India,2007-08-04,123946276336,94845
Blackpink,No,95300000,Korean,Music,South Korea,2016-06-28,37502831600,603
ChuChu TV Nursery Rhymes & Kids Songs,Yes,94200000,Hindi,Education,India,2013-02-09,53482626187,841
Zee TV,Yes,86000000,Hindi,Entertainment,India,2005-12-11,98198536593,193342
5-Minute Crafts,Yes,81100000,English,How-to,Cyprus,2016-11-15,27937555986,7422
BANGTANTV,No,79400000,Korean,Music,South Korea,2012-12-16,24161704347,2679
Pinkfong,Yes,79200000,English,Education,South Korea,2011-12-13,47497893810,3417
Colors TV,Yes,77500000,Hindi,Entertainment,India,2008-06-13,76773026527,184461
Hybe Labels,Yes,76200000,Korean,Music,South Korea,2008-06-04,37489619844,2258
Justin Bieber,No,74400000,English,Music,Canada,2007-01-15,33636731466,249
T-Series Bhakti Sagar,Yes,72500000,Hindi,Music,India,2011-02-13,37475095743,29249
KIMPRO,No,71900000,Korean,Entertainment,South Korea,2017-11-11,59178907151,3608
UR Cristiano,No,71300000,"Portuguese, English",Entertainment/Sports,Portugal,2024-07-08,761984719,86
A4,No,71100000,Russian,Entertainment,Belarus,2014-11-29,31672006438,972
Tips Official,Yes,70800000,Hindi,Entertainment,India,2007-05-22,43678398308,6978
Shemaroo Filmi Gaane,Yes,70200000,Hindi,Music,India,2010-06-11,31157886038,9024
Alan Chikin Chow,No,69200000,English,Entertainment,United States,2020-02-03,49517199941,1430
ZAMZAM ELECTRONICS TRADING,No,68900000,Arabic,Entertainment,United Arab Emirates,2020-12-19,35016657490,19389
Aaj Tak,Yes,68600000,Hindi,News,India,2009-08-27,35890744856,419985
Toys and Colors,No,67900000,English,Entertainment,United States,2016-03-17,83925444286,1413
Canal KondZilla,Yes,67500000,Portuguese,Music,Brazil,2012-03-21,37868149827,3045
El Reino Infantil,Yes,67000000,Spanish,Music,Argentina,2011-06-02,64402726774,1703
Infobells - Hindi,Yes,66599999,Hindi,Education,India,2014-06-06,40118711604,736
Wave Music,Yes,63600000,Bhojpuri,Music,India,2014-10-29,44132664972,20495
Eminem Music,No,63200000,English,Music,United States,2007-02-08,32586171867,197
YRF,Yes,62800000,Hindi,Music,India,2006-06-07,45068575631,4353
Movieclips,Yes,62800000,English,Film,United States,2006-04-27,64385810664,41821
Sony Music India,Yes,62800000,Hindi,Music,India,2009-09-02,32803588434,6043
HAR PAL GEO,Yes,62700000,Urdu,Entertainment,Pakistan,2008-01-02,64900620208,154059
KL BRO Biju Rithvik,No,62200000,Malayalam,Lifestyle Vlogs,India,2020-07-21,55783431721,2908
Dude Perfect,No,60600000,English,Comedy,United States,2009-03-17,18060176564,465
Taylor Swift,No,60400000,English,Music,United States,2006-09-20,37663171636,285
Mark Rober,No,60200000,English,Education/Entertainment,United States,2011-10-20,9312798106,190
ARY Digital HD,Yes,59700000,Urdu,Entertainment,Pakistan,2016-07-11,59874341894,157195
Fede Vigevani,No,59400000,Spanish,Entertainment,Mexico,2009-06-16,18135092207,1444
LooLoo Kids,Yes,59300000,English,Music,Romania,2014-08-05,36603603223,940
BillionSurpriseToys,Yes,57600000,English,Entertainment,United States,2013-10-25,12302602586,1245
Marshmello,No,57500000,English,Music,United States,2015-04-06,16389217605,509
